counter,x,y,r
1226,382,260,13
1231,538,188,14
1235,540,188,14
1244,542,188,17
1245,542,188,17
1246,544,186,15
1247,544,186,15
1252,544,186,17
1253,544,186,17
1262,546,186,17
1263,546,186,17
1264,546,186,17
1265,548,184,15
1266,548,186,15
1267,548,186,15
1269,362,258,12
1270,360,258,12
1270,548,184,16
1271,360,258,14
1271,548,184,17
1274,548,184,15
1279,548,184,15
1282,548,184,15
1284,348,262,13
1284,546,182,17
1285,348,262,13
1286,348,262,13
1287,346,264,13
1287,548,182,15
1288,346,264,14
1289,344,264,13
1289,548,182,14
1290,548,182,15
1291,546,182,14
1293,344,268,17
1293,546,182,16
1296,340,270,13
1297,338,270,13
1298,338,268,15
1298,546,182,15
1299,338,270,13
1299,546,180,14
1300,336,272,14
1301,336,274,14
1302,336,274,14
1302,546,180,14
1303,336,272,13
1303,546,180,14
1304,334,274,13
1304,546,182,16
1306,546,180,14
1307,332,276,13
1307,544,180,16
1308,544,180,16
1310,330,278,13
1310,544,180,16
1311,330,278,13
1311,544,180,16
1312,328,278,13
1313,328,278,13
1314,328,278,14
1315,328,278,13
1316,326,278,14
1317,328,278,13
1318,326,278,14
1319,326,278,14
1320,326,278,14
1321,324,280,14
1322,324,280,12
1322,544,178,15
1323,324,280,14
1323,544,178,15
1324,324,280,14
1324,542,178,16
1325,542,178,16
1326,542,178,16
1327,322,278,14
1327,542,178,15
1328,542,178,15
1329,542,178,15
1332,542,176,16
1334,542,176,15
1335,542,176,15
1341,540,178,15
1342,542,176,14
1343,542,176,14
1346,540,178,16
1347,540,180,16
1348,390,278,14
1349,400,276,13
1350,540,180,15
1351,418,276,13
1352,426,274,12
1353,438,276,13
1354,538,182,15
1355,538,182,15
1356,448,270,13
1357,454,270,14
1358,536,184,16
1362,534,184,16
1363,476,260,14
1365,484,256,13
1366,484,252,13
1369,492,246,13
1371,528,186,15
1372,498,240,12
1373,500,236,14
1376,526,188,15
1379,494,226,13
1380,494,224,13
1381,492,224,14
1382,492,222,13
1383,490,220,13
1384,488,218,12
1385,486,218,13
1386,486,214,12
1387,484,214,13
1388,482,212,12
1389,482,210,12
1390,480,210,12
1391,478,208,13
1394,516,190,14
1395,474,204,13
1396,472,202,13
1397,516,190,14
1398,470,202,13
1400,466,198,12
1402,462,198,13
1407,514,192,14
1408,454,192,14
1414,514,194,14
1417,514,194,14
1418,514,194,14
1419,434,182,16
1420,514,196,13
1427,404,166,12
1428,400,164,13
1430,388,160,13
1431,382,156,13
1439,516,198,13
1444,312,138,13
1447,296,140,13
1448,518,196,13
1452,518,196,14
1457,224,74,12
1458,216,74,12
1459,210,74,12
1462,518,196,14
1466,150,80,13
1467,146,82,13
1470,142,88,12
1471,144,90,12
1472,142,92,13
1475,144,94,12
1476,144,98,13
1477,144,100,13
1479,144,102,12
1480,146,102,12
1481,146,104,12
1482,146,106,13
1490,150,120,13
1491,152,120,14
1495,154,126,15
1500,158,136,13
1501,158,138,13
1525,178,166,17
1528,512,192,13
1529,200,196,13
1530,204,198,13
1532,512,192,14
1535,228,214,12
1541,510,192,13
1547,268,252,14
1548,270,256,13
1554,286,276,13
1555,290,282,14
1557,294,288,13
1558,296,290,13
1560,302,296,12
1563,308,306,13
1563,506,192,13
1564,310,306,13
1568,324,304,15
1569,322,302,12
1570,324,304,13
1572,328,302,13
1573,332,300,13
1574,334,300,13
1586,360,294,13
1587,362,294,13
1588,364,292,12
1592,372,292,13
1593,374,292,13
1594,376,290,12
1600,386,288,13
1601,388,288,13
1602,390,288,13
1603,390,288,12
1604,392,288,13
1605,394,288,12
1606,396,288,14
1607,396,288,13
1608,398,288,12
1609,398,288,13
1610,400,288,12
1611,402,288,12
1612,402,286,12
1613,404,288,13
1614,404,288,13
1615,406,288,12
1616,406,288,13
1617,398,290,15
1627,410,290,17
1637,420,294,13
1638,420,294,13
1639,422,294,13
1640,422,296,13
1641,420,296,13
1642,422,296,12
1646,508,190,13
1660,468,306,14
1661,480,306,13
1664,482,304,13
1665,482,302,13
1667,508,188,13
1668,508,188,13
1669,508,188,13
1670,508,188,13
1672,508,188,13
1673,508,188,13
1674,508,188,13
1675,508,188,14
1678,472,292,12
1683,472,290,14
1688,474,290,13
1690,510,186,14
1709,472,280,12
1711,472,278,13
1714,510,184,13
1719,472,262,13
1725,472,258,17
1726,470,258,17
1727,470,258,13
1732,464,262,15
1733,462,262,14
1752,568,64,17
1759,514,184,13
1760,514,184,13
1761,474,256,12
1762,476,256,12
1763,478,254,13
1764,480,252,13
1765,482,252,13
1766,486,252,13
1767,450,192,15
1768,490,250,12
1769,490,250,13
1770,490,250,13
1771,490,248,13
1772,490,248,12
1780,490,244,12
1781,490,244,13
1782,490,244,14
1783,490,244,12
1788,488,244,13
1790,486,242,13
1791,486,242,13
1792,518,188,14
1793,484,240,14
1794,484,240,12
1795,482,240,12
1796,482,240,12
1797,480,240,13
1798,480,240,13
1799,480,240,12
1800,478,240,13
1801,478,238,13
1802,476,238,13
1803,476,238,12
1804,476,238,13
1805,474,240,17
1806,474,238,12
1807,472,238,12
1808,470,236,13
1809,470,238,17
1810,466,236,17
1813,470,238,14
1824,516,190,14
1828,410,250,13
1831,384,260,12
1843,332,250,13
1845,324,250,13
1848,312,246,13
1849,308,246,12
1852,296,242,13
1853,294,240,13
1854,516,194,14
1855,516,194,14
1856,516,194,14
1857,516,194,13
1858,516,194,14
1860,516,194,14
1869,280,236,13
1877,292,238,13
1878,294,238,13
1879,296,238,13
1885,520,192,13
1895,316,240,13
1896,316,242,13
1897,316,242,13
1898,318,242,13
1899,320,244,12
1900,320,244,13
1901,320,244,14
1902,322,246,14
1908,328,248,13
1910,524,188,14
1911,524,188,14
1912,524,188,15
1915,526,188,14
