4,522,516,24
10,450,534,24
13,420,546,24
16,388,560,24
17,380,564,24
17,1122,216,23
20,1252,386,21
21,1118,218,23
29,490,620,24
29,1116,224,24
30,488,622,24
31,490,620,24
32,488,618,23
32,1114,226,23
33,490,618,24
35,1114,228,21
38,1114,226,23
39,488,616,24
40,1112,226,23
42,1112,222,23
44,1110,222,23
45,1110,222,23
49,690,610,21
50,1144,176,21
53,1242,390,21
56,1112,222,22
59,694,610,24
59,1110,224,23
60,688,610,24
60,1110,222,22
61,1144,178,21
63,666,604,24
64,660,602,22
65,654,606,23
66,646,596,21
70,624,594,24
71,616,596,24
72,610,594,24
73,604,594,24
74,598,592,24
75,594,594,24
76,588,594,24
88,930,598,23
89,944,602,24
90,952,600,24
91,962,596,24
92,970,598,24
93,980,600,23
94,974,594,23
95,972,592,23
96,968,590,23
97,966,588,23
101,956,582,24
102,952,586,24
104,946,582,24
105,942,580,24
109,926,576,24
110,922,574,22
113,972,582,23
114,974,586,23
115,972,590,22
129,974,610,23
130,974,610,23
131,974,610,22
132,976,612,24
133,974,612,23
134,974,612,24
135,974,614,24
137,972,620,22
138,972,618,24
144,950,616,24
155,652,598,23
156,618,598,22
158,610,600,24
159,602,600,24
160,598,598,24
161,594,596,22
163,598,598,23
164,604,600,23
165,610,598,24
166,618,598,23
167,626,600,24
170,646,600,24
171,652,598,24
172,660,598,24
